Name;Sex;PeoplesCount;Origin
Aefre;Female;13;Anglo-Saxon
Aegelmaere;Male;3;English
Aegelweard;Male;9;English
Aegeus;Male;96;Greek
Aegina;Female;436;Greek
Aegis;Male;40000;Greek
Aegisthus;Male;3;Greek
Aegyptus;Male;58;Greek
Aeker;Male;37;English
Aekerley;Male;6;English
Aekerman;Male;6;English
Aekley;Male;5;English
Aeldra;Male;23;English
Aeldra;Female;23;English
Aelfdane;Male;4;English
Aelfdene;Male;6;English
Aelfraed;Female;49;English
Aelfraed;Male;49;English
Aelfric;Male;110;English
Aelfwine;Female;70;English
Aelle;Male;254;Anglo
Aelle;Male;254;Anglo-Saxon
Aello;Female;170;Greek
Aeneas;Male;1000;Greek
Aenedleah;Male;1;English
Aenescumb;Male;1;English
Aengus;Male;462;Celtic
Aengus;Male;462;Irish
Aengus;Male;462;Scottish
Aeolus;Male;912;Greek
Aerlene;Female;11;Anglo-Saxon
Aerwyna;Female;12;English
Aescby;Male;0;English
Aescford;Male;1;English
Aescleah;Male;9;English
Aesclin;Male;2;English
Aesctun;Male;1;English
Aesculapius;Male;222;Greek
Aescwine;Male;3;English
Aescwyn;Male;2;English
Aeshan;Male;39;Indian
Aesoburne;Male;2;English
Aeson;Male;198;Greek
Aethelbald;Male;2;Anglo
Aethelbald;Male;2;Anglo-Saxon
Aethelbeorht;Male;3;English
Aethelbeorn;Male;1;English
Aethelberht;Male;3;English
Aethelbert;Male;3;Anglo
Aethelbert;Male;3;Anglo-Saxon
Aethelbert;Male;3;English
Aethelflaed;Female;4;Anglo-Saxon
Aethelflaed;Female;4;Anglo
Aethelfrith;Male;56;Anglo
Aethelfrith;Male;56;Anglo-Saxon
Aethelhard;Male;6;English
Aethelhere;Male;0;Anglo
Aethelhere;Male;0;Anglo-Saxon
Aethelisdun;Male;1;English
Aethelmaer;Male;5;English
Aethelmaere;Male;1;English
Aethelred;Male;63;Anglo
Aethelred;Male;63;Anglo-Saxon
Aethelreda;Female;4;English
Aethelstan;Male;8;Anglo-Saxon
Aethelstun;Male;0;English
Aethelthryth;Female;7;Anglo-Saxon
Aethelthryth;Female;7;Anglo
Aethelweard;Male;4;English
Aethelwine;Female;51;English
Aethelwulf;Male;14;Anglo
Aethelwulf;Male;14;Anglo-Saxon
Aethelwyne;Female;9;English
Aetheston;Male;1;English
Aethra;Female;1000;Greek
Aethretun;Male;2;English
Aetna;Female;0;Greek
Afaf;Female;8000;Arabic
Afafa;Female;409;African
Afet;Female;7000;Turkish
Afework;Male;559;African
Afeworki;Male;112;African
Afia;Female;6000;African
Afif;Male;21000;Arabic
Afifah;Female;17000;Arabic
Afina;Female;8000;Romanian
