GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Сухофрукты;Имбирь натуральный;28702467;Тайланд;Тайланд;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир;28669531;Турция;Турция;;Кг;;0.000000;0.000;18.0;5;0.000;0;0;0;0
Сухофрукты;Инжир 500г;8690289305006;Турция;Турция;;ШТ 1;Кг;0.500000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Гуд Фуд 200г;4606847000416;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Зеебергер деликатесный 200г;4008258235003;Германия;Германия;Зеебергер;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Зеебергер экстра 200г;4008258290019;Германия;Германия;Зеебергер;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Натси суш.300г;4607004647055;Россия;Россия;Натси;ШТ 1;Кг;0.300000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Нектафлор суш.200г;7610184023608;Швейцария;Швейцария;Нектафлор;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Тю-ша суш.400г;4607015927337;Россия;Россия;Тю-Ша;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Фараз 200г;25313772;Россия;Россия;;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Инжир Франт мягкий экстра 200г;4606972363059;Россия;Россия;Франт;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Какао;Какао Ван б/раств. 200г;5900910000068;Польша;Польша;;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Какао;Какао Джелви  б/раств.с витамин. и кальц.380г;5900552011538;Польша;Польша;;ШТ 1;Кг;0.380000;0.000;18.0;0;0.000;0;0;0;0
Какао;Какао КолаКао б/раств. 200г;8410014894052;Испания;Испания;КолаКао;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Какао;Какао КолаКао б/раств. 400г;26078069;Испания;Испания;КолаКао;ШТ 1;Кг;0.400000;0.000;18.0;0;0.000;0;0;0;0
Сгущеное молоко;Какао со сгущ.мол.и сахаром 7.5% 400г ГОСТ Рогачев;4810065000039;Россия;Россия;Рогачев;ШТ 1;Кг;0.400000;0.000;10.0;0;0.000;0;0;0;0
Сгущеное молоко;Какао со сгущ.молоком 400г;4606599000344;;;;ШТ 1;Кг;0.400000;0.000;10.0;0;0.000;0;0;0;0
Сгущеное молоко;Какао со сгущ.молоком Алексеевское 380г ж/б;4607109470206;Россия;Россия;Алексеевский МКК;ШТ 1;Кг;0.380000;0.000;10.0;0;0.000;0;0;0;0
Сгущеное молоко;Какао со сгущеным молоком 400г;4601735000059;;;;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Какао;Какао Тикли раств. 200г;4603825000284;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Какао;Какао Тикли раств. 400г;4603825000024;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Какао;Какао Шоко-Рэп 300г п/б;801729761247;Колумбия;Колумбия;;ШТ 1;Кг;0.300000;0.000;18.0;0;0.000;0;0;0;0
Салаты корейские;Кальмары в марин.по-кор.100г Нуриев;28896975;Россия;Россия;Нуриев;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Салаты корейские;Кальмары по-корейски Грин Крест;28850397;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
