TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
ë‡ 07.10.2009 - 18:15 	| 4B4200	| 23D000		| 0				| 49FA86(0089FA86)	| 1000		| 200		| 6F4000	| 
ó‚ 15.10.2009 - 19:47 	| 4B5A00	| 23D400		| 0				| 4A12E6(008A12E6)	| 1000		| 200		| 6F5000	| 
Ç· 18.10.2009 - 20:14 	| 4B6400	| 23D400		| 0				| 4A1C66(008A1C66)	| 1000		| 200		| 6F6000	| 
ë‡ 21.10.2009 - 18:50 	| 4B8200	| 23DA00		| 0				| 4A39F6(008A39F6)	| 1000		| 200		| 6F8000	| 
ë‡ 21.10.2009 - 19:37 	| 4B8200	| 23DA00		| 0				| 4A39F6(008A39F6)	| 1000		| 200		| 6F8000	| 
ó‚ 22.10.2009 - 19:40 	| 4B8A00	| 23DA00		| 0				| 4A42F6(008A42F6)	| 1000		| 200		| 6F8000	| 
Ç· 25.10.2009 - 19:06 	| 4BA200	| 23DC00		| 0				| 4A5B86(008A5B86)	| 1000		| 200		| 6FB000	| 
è≠ 26.10.2009 - 20:05 	| 4BA400	| 23DC00		| 0				| 4A5CF6(008A5CF6)	| 1000		| 200		| 6FB000	| 
Ç‚ 27.10.2009 - 15:33 	| 4BA600	| 23F400		| 0				| 4A5DE6(008A5DE6)	| 1000		| 200		| 6FC000	| 
è‚ 30.10.2009 - 11:36 	| 4BB200	| 23F600		| 0				| 4A6B26(008A6B26)	| 1000		| 200		| 6FD000	| 
è‚ 30.10.2009 - 19:25 	| 4BB600	| 23F600		| 0				| 4A6DE6(008A6DE6)	| 1000		| 200		| 6FD000	| 
è≠ 02.11.2009 - 17:29 	| 4BC000	| 23F000		| 0				| 4A7986(008A7986)	| 1000		| 200		| 6FD000	| 
è≠ 02.11.2009 - 19:51 	| 4BC000	| 23F000		| 0				| 4A7986(008A7986)	| 1000		| 200		| 6FD000	| 
